name;gruppe;kategorie;kurzname;blz;bic;plz;ort
Raiffeisenbank Main-Spessart;Volksbank/Raiffeisenbank;;Raiffbk Main-Spessart;79069150;GENODEF1GEM;97816;Lohr a. Main
Raiffeisenbank Mainschleife - Steigerwald;Volksbank/Raiffeisenbank;;RB Mainschleife-Steigerwald;79069001;GENODEF1WED;97332;Volkach
Raiffeisenbank Maintal Ndl d Frankfurter VB;Volksbank/Raiffeisenbank;;Frankfurter Volksbank;50662669;RBMFDEF1XXX;63477;Maintal
Raiffeisenbank Maitis;Volksbank/Raiffeisenbank;;Raiffbk Maitis;60069336;GENODES1RMA;73037;Göppingen
Raiffeisenbank Mecklenburger Seenplatte;Volksbank/Raiffeisenbank;;Raiffbk Mecklenb Seenplatte;15061618;GENODEF1WRN;17192;Waren (Müritz)
Raiffeisenbank Mehring-Leiwen;Volksbank/Raiffeisenbank;;Raiffbk Mehring-Leiwen;58561771;GENODED1MLW;54340;Leiwen
Raiffeisenbank Mittelschwaben;Volksbank/Raiffeisenbank;;Raiffbk Mittelschwaben;72069126;GENODEF1BBT;89297;Roggenburg
Raiffeisenbank Moormerland;Volksbank/Raiffeisenbank;;Raiffeisenbank Moormerland;28562863;GENODEF1HTL;26835;Holtland
Raiffeisenbank München-Nord;Volksbank/Raiffeisenbank;;Raiffbk München-Nord;70169465;GENODEF1M08;85704;Unterschleißheim
Raiffeisenbank München-Süd;Volksbank/Raiffeisenbank;;Raiffeisenbank München-Süd;70169466;GENODEF1M03;81457;München
Raiffeisenbank Nahe;Volksbank/Raiffeisenbank;;Raiffeisenbank Nahe;56261735;GENODED1FIN;55743;Fischbach
Raiffeisenbank Neumarkt;Volksbank/Raiffeisenbank;;Raiffeisenbank Neumarkt;76069553;GENODEF1NM1;92305;Neumarkt i.d.OPf.
Raiffeisenbank Neumarkt-St. Veit - Reischach;Volksbank/Raiffeisenbank;;Raiffbk Neumarkt-Reischach;70169530;GENODEF1RWZ;84571;Reischach
Raiffeisenbank Neustadt;Volksbank/Raiffeisenbank;;Raiffbk Neustadt;57069238;GENODED1ASN;53573;Neustadt (Wied)
Raiffeisenbank Niedere Alb;Volksbank/Raiffeisenbank;;Raiffeisenbank Niedere Alb;60069066;GENODES1RBA;89129;Langenau
Raiffeisenbank Nördliche Bergstraße;Volksbank/Raiffeisenbank;;Raiffbk Nördliche Bergstr;50861501;GENODE51ABH;64659;Alsbach-Hähnlein
Raiffeisenbank Oberaudorf;Volksbank/Raiffeisenbank;;Raiffeisenbank Oberaudorf;71162355;GENODEF1OBD;83080;Oberaudorf
Raiffeisenbank Oberferrieden-Burgthann;Volksbank/Raiffeisenbank;;Raiffbk Oberferrieden-Burgt;76069564;GENODEF1BTO;90559;Burgthann
Raiffeisenbank Oberland;Volksbank/Raiffeisenbank;;Raiffeisenbank Oberland;77069868;GENODEF1MGA;95352;Marktleugast
Raiffeisenbank Oberpfalz NordWest;Volksbank/Raiffeisenbank;;Raiffbk Oberpfalz NordWest;77069764;GENODEF1KEM;95478;Kemnath
Raiffeisenbank Oberpfalz Süd;Volksbank/Raiffeisenbank;;Raiffbk Oberpfalz Süd;75062026;GENODEF1DST;93093;Donaustauf
Raiffeisenbank Oberteuringen-Meckenbeuren;Volksbank/Raiffeisenbank;;RB Oberteuringen-Meckenb.;65162832;GENODES1OTE;88094;Oberteuringen
Raiffeisenbank Oldersum;Volksbank/Raiffeisenbank;;Raiffeisenbank Oldersum;28069755;GENODEF1MLO;26802;Moormerland
Raiffeisenbank Ortenburg-Kirchberg;Volksbank/Raiffeisenbank;;Raiffbk Ortenburg-Kirchberg;74061670;GENODEF1ORT;94496;Ortenburg
Raiffeisenbank Ostprignitz-Ruppin;Volksbank/Raiffeisenbank;;Raiffeisenbank Ostpr-Ruppin;16061938;GENODEF1NPP;16803;Neuruppin
Raiffeisenbank Ottenbach;Volksbank/Raiffeisenbank;;Raiffeisenbank Ottenbach;60069457;GENODES1OTT;73113;Ottenbach
Raiffeisenbank Owschlag;Volksbank/Raiffeisenbank;;Raiffeisenbank Owschlag;20069641;GENODEF1OWS;24811;Owschlag
Raiffeisenbank Parkstetten;Volksbank/Raiffeisenbank;;Raiffeisenbank Parkstetten;74369130;GENODEF1PST;94365;Parkstetten
Raiffeisenbank Pfaffenhausen;Volksbank/Raiffeisenbank;;Raiffbk Pfaffenhausen;72069789;GENODEF1PFA;87772;Pfaffenhausen
Raiffeisenbank Pfaffenhofen a d Glonn;Volksbank/Raiffeisenbank;;Raiffbk Pfaffenhofen Glonn;70169186;GENODEF1ODZ;85235;Odelzhausen
Raiffeisenbank Pfaffenwinkel;Volksbank/Raiffeisenbank;;Raiffbk Pfaffenwinkel;70169509;GENODEF1PEI;86971;Peiting
Raiffeisenbank Plankstetten;Volksbank/Raiffeisenbank;;Raiffeisenbank Plankstetten;76069576;GENODEF1BPL;92334;Berching
Raiffeisenbank Rastede;Volksbank/Raiffeisenbank;;Raiffeisenbank Rastede;28062165;GENODEF1RSE;26170;Rastede
Raiffeisenbank Rattiszell-Konzell;Volksbank/Raiffeisenbank;;Raiffbk Rattiszell-Konzell;74369146;GENODEF1RZK;94372;Rattiszell
Raiffeisenbank Regensburg-Wenzenbach;Volksbank/Raiffeisenbank;;Raiffbk Regensburg-Wenzenb;75060150;GENODEF1R02;93018;Regensburg
Raiffeisenbank Regenstauf;Volksbank/Raiffeisenbank;;Raiffeisenbank Regenstauf;75061851;GENODEF1REF;93122;Regenstauf
Raiffeisenbank Reute-Gaisbeuren;Volksbank/Raiffeisenbank;;Raiffbk Reute-Gaisbeuren;60069350;GENODES1RRG;88339;Bad Waldsee
Raiffeisenbank Rosenstein;Volksbank/Raiffeisenbank;;Raiffeisenbank Rosenstein;61361722;GENODES1HEU;73540;Heubach
Raiffeisenbank Rupertiwinkel;Volksbank/Raiffeisenbank;;Raiffbk Rupertiwinkel;70169191;GENODEF1TEI;83315;Teisendorf
Raiffeisenbank Scharrel;Volksbank/Raiffeisenbank;;Raiffeisenbank Scharrel;28065286;GENODEF1SAN;26683;Saterland
Raiffeisenbank Schrobenhausener Land;Volksbank/Raiffeisenbank;;Raiffbk Schrobenhausener Ld;72169246;GENODEF1WFN;86571;Langenmosen
Raiffeisenbank Schrozberg-Rot am See;Volksbank/Raiffeisenbank;;Raiffbk Schrozberg-Rot;60069595;GENODES1SBB;74573;Schrozberg
Raiffeisenbank Schwaben Mitte;Volksbank/Raiffeisenbank;;Raiffbk Schwaben Mitte;72069736;GENODEF1BLT;86370;Krumbach (Schwaben)
Raiffeisenbank Schwabmünchen-Stauden;Volksbank/Raiffeisenbank;;RB Schwabmünchen-Stauden;72069220;GENODEF1SMU;86827;Schwabmünchen
Raiffeisenbank Singoldtal;Volksbank/Raiffeisenbank;;Raiffbk Singoldtal;70169413;GENODEF1HUA;86857;Hurlach
Raiffeisenbank Sinzing;Volksbank/Raiffeisenbank;;Raiffeisenbank Sinzing;75069078;GENODEF1SZV;93161;Sinzing
Raiffeisenbank Sondelfingen;Volksbank/Raiffeisenbank;;Raiffbk Sondelfingen;60069147;GENODES1RSF;72740;Reutlingen
Raiffeisenbank Steingaden;Volksbank/Raiffeisenbank;;Raiffeisenbank Steingaden;70169558;GENODEF1SGA;86989;Steingaden
Raiffeisenbank Straubing;Volksbank/Raiffeisenbank;;Raiffeisenbank Straubing;74260110;GENODEF1SR2;94315;Straubing
Raiffeisenbank Strücklingen-Idafehn;Volksbank/Raiffeisenbank;;Raiffbk Strückl.-Idafehn;28069052;GENODEF1ORF;26842;Ostrhauderfehn
Raiffeisenbank Südhardt Durmersheim;Volksbank/Raiffeisenbank;;Rb Südhardt Durmersheim;66562053;GENODE61DUR;76448;Durmersheim
Raiffeisenbank Südliches Ostallgäu;Volksbank/Raiffeisenbank;;Raiffbk Südliches Ostallgäu;73369933;GENODEF1RHP;87637;Seeg
Raiffeisenbank Taufkirchen-Oberneukirchen;Volksbank/Raiffeisenbank;;Raiffbk Taufk-Oberneukirch;70169568;GENODEF1TAE;84565;Oberneukirchen
Raiffeisenbank Tüngental;Volksbank/Raiffeisenbank;;Raiffbk Tüngental;60069950;GENODES1TUN;74523;Schwäbisch Hall
Raiffeisenbank Uehlfeld-Dachsbach;Volksbank/Raiffeisenbank;;Raiffbk Uehlfeld-Dachsbach;76069404;GENODEF1DSB;91462;Dachsbach
Raiffeisenbank Unteres Inntal;Volksbank/Raiffeisenbank;;Raiffbk Unteres Inntal;74061564;GENODEF1NUI;94152;Neuhaus a.Inn
Raiffeisenbank Unteres Vilstal;Volksbank/Raiffeisenbank;;Raiffbk Unteres Vilstal;76069611;GENODEF1SDM;92287;Schmidmühlen
Raiffeisenbank Unteres Zusamtal;Volksbank/Raiffeisenbank;;Raiffbk Unteres Zusamtal;72069179;GENODEF1BWI;86647;Buttenwiesen
Raiffeisenbank Voreifel;Volksbank/Raiffeisenbank;;Raiffbk Voreifel, Rheinbach;37069627;GENODED1RBC;53359;Rheinbach
Raiffeisenbank Wald-Görisried;Volksbank/Raiffeisenbank;;Raiffbk Wald-Görisried;73369954;GENODEF1WGO;87616;Wald
Raiffeisenbank Wallgau-Krün;Volksbank/Raiffeisenbank;;Raiffbk Wallgau-Krün;70362595;GENODEF1WAK;82499;Wallgau
Raiffeisenbank Wangen;Volksbank/Raiffeisenbank;;Raiffeisenbank Wangen;60069685;GENODES1RWA;73117;Wangen
Raiffeisenbank Welling;Volksbank/Raiffeisenbank;;Raiffeisenbank Welling;57069361;GENODED1WLG;56753;Welling
Raiffeisenbank Werratal-Landeck;Volksbank/Raiffeisenbank;;Raiffbk Werratal-Landeck;53261342;GENODEF1RAW;36266;Heringen (Werra)
Raiffeisenbank Wesermarsch-Süd;Volksbank/Raiffeisenbank;;Raiffbk Wesermarsch-Süd;28061410;GENODEF1BRN;26913;Brake (Unterweser)
Raiffeisenbank Westeifel;Volksbank/Raiffeisenbank;;Raiffeisenbank Westeifel;58661901;GENODED1WSC;54687;Arzfeld
Raiffeisenbank Westhausen;Volksbank/Raiffeisenbank;;Raiffeisenbank Westhausen;60069544;GENODES1RWN;73461;Westhausen
Raiffeisenbank Westkreis Fürstenfeldbruck;Volksbank/Raiffeisenbank;;Raiffbk Westkreis;70169460;GENODEF1MOO;82272;Moorenweis
Raiffeisenbank Wiesedermeer-Wiesede-Marcardsm;Volksbank/Raiffeisenbank;;Raiffbk Wiesederm-Wiesede-M;28069773;GENODEF1WWM;26446;Friedeburg
Raiffeisenbank Wittelsbacher Land;Volksbank/Raiffeisenbank;;RB Wittelsb. Land, Mering;72069155;GENODEF1MRI;86415;Mering
Raiffeisenbank Wyhl;Volksbank/Raiffeisenbank;;Raiffbk Wyhl Kaiserstuhl;68062730;GENODE61WYH;79369;Wyhl am Kaiserstuhl
Raiffeisenbank Wüstenselbitz;Volksbank/Raiffeisenbank;;Raiffbk Wüstenselbitz;77069906;GENODEF1WSZ;95233;Helmbrechts
Raiffeisenbank am Kulm;Volksbank/Raiffeisenbank;;Raiffeisenbank am Kulm;77069782;GENODEF1SPK;95469;Speichersdorf
Raiffeisenbank i Lkr Passau-Nord;Volksbank/Raiffeisenbank;;Raiffbk i Lkr Passau-Nord;74062786;GENODEF1TIE;94113;Tiefenbach
Raiffeisenbank im Allgäuer Land;Volksbank/Raiffeisenbank;;Raiffbk im Allg Land;73369264;GENODEF1DTA;87463;Dietmannsried
Raiffeisenbank im Breisgau;Volksbank/Raiffeisenbank;;Raiffeisenbank im Breisgau;68064222;GENODE61GUN;79194;Gundelfingen
Raiffeisenbank im Donautal;Volksbank/Raiffeisenbank;;Raiffbk im Donautal;72169812;GENODEF1GAH;85080;Gaimersheim
Raiffeisenbank im Fuldaer Land;Volksbank/Raiffeisenbank;;RB im Fuldaer LandGrl.;53062035;GENODEF1GLU;36137;Großenlüder
Raiffeisenbank im Grabfeld;Volksbank/Raiffeisenbank;;Raiffeisenbank im Grabfeld;79069188;GENODEF1SLZ;97528;Sulzdorf a.d.Lederhecke
Raiffeisenbank im Kreis Calw;Volksbank/Raiffeisenbank;;Raiffbk Calw;60663084;GENODES1RCW;75387;Neubulach
Raiffeisenbank im Nürnberger Land;Volksbank/Raiffeisenbank;;Raiffbk im Nürnberger Land;76061482;GENODEF1HSB;90537;Feucht
Raiffeisenbank im Oberland;Volksbank/Raiffeisenbank;;Raiffbk im Oberland;70169598;GENODEF1MIB;83646;Bad Tölz
Raiffeisenbank im Oberpfälzer Jura;Volksbank/Raiffeisenbank;;Raiffbk im Oberpf. Jura;75069061;GENODEF1HEM;92331;Parsberg
Raiffeisenbank in Rheinhessen;Volksbank/Raiffeisenbank;;Raiffeisenbank Rheinhessen;55060611;GENODE51MZ6;55120;Mainz
Raiffeisenbank-Volksbank Oder-Spree;Volksbank/Raiffeisenbank;;Raiff-VB Oder-Spree Beeskow;17062428;GENODEF1BKW;15848;Beeskow
Rheingauer Volksbank;Volksbank/Raiffeisenbank;;Rheingauer Volksbank;51091500;GENODE51RGG;65359;Geisenheim
VBU Volksbank im Unterland;Volksbank/Raiffeisenbank;;VBU Volksbank im Unterland;62063263;GENODES1VLS;74336;Brackenheim
VR Bank;Volksbank/Raiffeisenbank;;VR Bank Monheim am Rhein;30560548;GENODED1NLD;40789;Monheim am Rhein
VR Bank;Volksbank/Raiffeisenbank;;VR Bank;55361202;GENODE51AHM;67577;Alsheim
VR Bank Alzey-Land-Schwabenheim;Volksbank/Raiffeisenbank;;VRB Alzey-Land-Schwabenheim;50069126;GENODE51ABO;55270;Schwabenheim an der Selz
VR Bank Amberg-Sulzbach;Volksbank/Raiffeisenbank;;VR Bank Amberg-Sulzbach;75290000;GENODEF1AMV;92237;Sulzbach-Rosenberg
VR Bank Augsburg-Ostallgäu;Volksbank/Raiffeisenbank;;VR Bank Augsburg-Ostallgäu;72090000;GENODEF1AUB;86012;Augsburg
VR Bank Bad Orb-Gelnhausen;Volksbank/Raiffeisenbank;;VR Bank Bad Orb-Gelnhausen;50790000;GENODE51GEL;63571;Gelnhausen
VR Bank Bamberg-Forchheim Volks- Raiffeisenbank;Volksbank/Raiffeisenbank;;VR Bank Bamberg-Forchheim;76391000;GENODEF1FOH;96014;Bamberg
VR Bank Bayreuth-Hof;Volksbank/Raiffeisenbank;;VR Bank Bayreuth-Hof;78060896;GENODEF1HO1;95444;Bayreuth
VR Bank Bergisch Gladbach-Leverkusen;Volksbank/Raiffeisenbank;;VR Bank Berg.Gladbach-Lever;37062600;GENODED1PAF;51465;Bergisch Gladbach
VR Bank Donau-Oberschwaben;Volksbank/Raiffeisenbank;;VR Bank Donau-Oberschwaben;65093020;GENODES1SLG;88348;Bad Saulgau
VR Bank Dreieich-Offenbach;Volksbank/Raiffeisenbank;;VR Bank Dreieich-Offenbach;50592200;GENODE51DRE;63303;Dreieich
VR Bank Fulda;Volksbank/Raiffeisenbank;;VR Bank Fulda;53060180;GENODE51FUL;36037;Fulda
VR Bank Fürstenwalde Seelow Wriezen;Volksbank/Raiffeisenbank;;VR Bank Fürstenwalde;17092404;GENODEF1FW1;15501;Fürstenwalde/Spree
VR Bank Heilbronn Schwäbisch Hall;Volksbank/Raiffeisenbank;;VR Bk Heilbronn Schwäb.Hall;62290110;GENODES1SHA;74523;Schwäbisch Hall
VR Bank Ihre Heimatbank;Volksbank/Raiffeisenbank;;VR Bank Ihre Heimatbank;82064088;GENODEF1ESA;99817;Eisenach
VR Bank Kempten-Oberallgäu;Volksbank/Raiffeisenbank;;VR Bank Kempten-Oberallgäu;73369920;GENODEF1SFO;87435;Kempten (Allgäu)
VR Bank Kitzingen;Volksbank/Raiffeisenbank;;VR Bank Kitzingen;79190000;GENODEF1KT1;97318;Kitzingen
VR Bank Lahn-Dill;Volksbank/Raiffeisenbank;;VR Bank Lahn-Dill;51762434;GENODE51BIK;35683;Dillenburg
VR Bank Lausitz;Volksbank/Raiffeisenbank;;VR Bank Lausitz;18062678;GENODEF1FWA;03044;Cottbus
VR Bank Leipziger Land;Volksbank/Raiffeisenbank;;VR Bank Leipziger Land;86065448;GENODEF1BOA;04552;Borna
VR Bank Main-Kinzig-Büdingen;Volksbank/Raiffeisenbank;;VR Bk Main-Kinzig-Büdingen;50661639;GENODEF1LSR;63654;Büdingen
VR Bank Mecklenburg;Volksbank/Raiffeisenbank;;VR Bank Mecklenburg;14061308;GENODEF1GUE;18055;Rostock
VR Bank Mittelhaardt;Volksbank/Raiffeisenbank;;VR Bank Mittelhaardt;54691200;GENODE61DUW;67098;Bad Dürkheim
VR Bank Mittlere Oberpfalz;Volksbank/Raiffeisenbank;;VR Bank Mittlere Oberpfalz;75069171;GENODEF1SWD;92507;Nabburg
VR Bank München Land;Volksbank/Raiffeisenbank;;VR Bank München Land;70166486;GENODEF1OHC;82041;Deisenhofen
VR Bank Neuburg-Rain;Volksbank/Raiffeisenbank;;VR Bank Neuburg-Rain;72169756;GENODEF1ND2;86633;Neuburg a.d.Donau
VR Bank Niederbayern-Oberpfalz;Volksbank/Raiffeisenbank;;VR Bank Niederbayern-Oberpf;75090900;GENODEF1P18;93047;Regensburg
VR Bank Nord;Volksbank/Raiffeisenbank;;VR Bank Nord;21763542;GENODEF1BDS;24937;Flensburg
VR Bank Oberfranken Mitte;Volksbank/Raiffeisenbank;;VR Bank Oberfranken Mitte;77190000;GENODEF1KU1;95326;Kulmbach
VR Bank Rhein-Neckar;Volksbank/Raiffeisenbank;;VR Bank Rhein-Neckar;67090000;GENODE61MA2;68165;Mannheim
VR Bank RheinAhrEifel;Volksbank/Raiffeisenbank;;VR Bank RheinAhrEifel;57761591;GENODED1BNA;56068;Koblenz
VR Bank Ried-Überwald, Bürstadt;Volksbank/Raiffeisenbank;;VR Bank Ried-Überwald, Bürs;50961206;GENODE51RBU;68642;Bürstadt
VR Bank Schleswig-Holstein Mitte;Volksbank/Raiffeisenbank;;VR Bank SH Mitte;21762550;GENODEF1HUM;24783;Osterrönfeld
VR Bank Schwäbischer Wald;Volksbank/Raiffeisenbank;;VR Bank Schwäbischer Wald;61391410;GENODES1WEL;73642;Welzheim
VR Bank Starnberg-Zugspitze;Volksbank/Raiffeisenbank;;VR Bank Starnberg-Zugspitze;70093200;GENODEF1STH;82319;Starnberg
VR Bank Südliche Weinstraße-Wasgau;Volksbank/Raiffeisenbank;;VR Bank Südl Weinstr-Wasgau;54891300;GENODE61BZA;76887;Bad Bergzabern
VR Bank Südpfalz;Volksbank/Raiffeisenbank;;VR Bank Südpfalz;54862500;GENODE61SUW;76829;Landau in der Pfalz
VR Bank Weimar;Volksbank/Raiffeisenbank;;VR Bank Weimar;82064188;GENODEF1WE1;99405;Weimar
VR Bank Westfalen-Lippe;Volksbank/Raiffeisenbank;;VR Bank Westfalen-Lippe;41660124;GENODEM1LPS;59555;Lippstadt
VR Bank Wächtersbach/Bad Soden-Salmünster -alt;Volksbank/Raiffeisenbank;;VR Bank Wächtersbach -alt-;50794300;GENODE51WBH;63607;Wächtersbach
VR Bank im südlichen Franken;Volksbank/Raiffeisenbank;;VR Bank im südl. Franken;76591000;GENODEF1DKV;91781;Weißenburg i.Bay.
VR Bank in Holstein;Volksbank/Raiffeisenbank;;VR Bank in Holstein;22191405;GENODEF1PIN;25421;Pinneberg
VR Bank in Thüringen;Volksbank/Raiffeisenbank;;VR Bank in Thüringen;82064038;GENODEF1MU2;99974;Mühlhausen/Thüringen
VR Bank zwischen den Meeren;Volksbank/Raiffeisenbank;;VR Bank zdM, Neumünster;21390008;GENODEF1NSH;24534;Neumünster
VR-Bank;Volksbank/Raiffeisenbank;;VR-Bank Würselen;39162980;GENODED1WUR;52135;Würselen
VR-Bank Alb-Blau-Donau;Volksbank/Raiffeisenbank;;VR-Bank Alb-Blau-Donau;60069346;GENODES1REH;89584;Ehingen (Donau)
VR-Bank Altenburger Land / Deutsche Skatbank;Volksbank/Raiffeisenbank;;VR-Bank ABG-Land / Skatbank;83065408;GENODEF1SLR;04626;Schmölln
VR-Bank Bad Kissingen;Volksbank/Raiffeisenbank;;VR-Bank Bad Kissingen;79065028;GENODEF1BRK;97688;Bad Kissingen
VR-Bank Bonn Rhein-Sieg;Volksbank/Raiffeisenbank;;VR-Bank Bonn Rhein-Sieg;37069520;GENODED1RST;53721;Siegburg
VR-Bank Coburg;Volksbank/Raiffeisenbank;;VR-Bank Coburg;78360000;GENODEF1COS;96416;Coburg
VR-Bank Donau-Mindel;Volksbank/Raiffeisenbank;;VR-Bank Donau-Mindel;72069043;GENODEF1GZ2;89407;Dillingen a.d.Donau
VR-Bank Ehningen-Nufringen;Volksbank/Raiffeisenbank;;VR-Bank Ehningen-Nufringen;60069355;GENODES1EHN;71139;Ehningen
VR-Bank Ellwangen;Volksbank/Raiffeisenbank;;VR-Bank Ellwangen;61491010;GENODES1ELL;73471;Ellwangen (Jagst)
VR-Bank Erding;Volksbank/Raiffeisenbank;;VR-Bank Erding;70169605;GENODEF1ISE;85435;Erding
VR-Bank Fichtelgebirge-Frankenwald;Volksbank/Raiffeisenbank;;VR-Bk Fichtelgeb.-Frankenw.;78160069;GENODEF1MAK;95605;Marktredwitz
VR-Bank Fläming-Elsterland;Volksbank/Raiffeisenbank;;VR-Bank Fläming-Elsterland;16062008;GENODEF1LUK;14943;Luckenwalde
VR-Bank Freudenberg-Niederfischbach;Volksbank/Raiffeisenbank;;VR-Bank Freudenb.-Niederfi.;46061724;GENODEM1FRF;57258;Freudenberg
VR-Bank Handels- und Gewerbebank;Volksbank/Raiffeisenbank;;VR-Bank HG-Bank;72062152;GENODEF1MTG;86358;Gersthofen
VR-Bank Isar-Vils;Volksbank/Raiffeisenbank;;VR-Bk Isar-Vils Vilsbiburg;74392300;GENODEF1VBV;84131;Vilsbiburg
VR-Bank Ismaning Hallbergmoos Neufahrn;Volksbank/Raiffeisenbank;;VR-Bank Ismaning Hallb Neuf;70093400;GENODEF1ISV;85737;Ismaning
VR-Bank Landau-Mengkofen;Volksbank/Raiffeisenbank;;VR-Bank Landau-Mengkofen;74191000;GENODEF1LND;94405;Landau a.d.Isar
VR-Bank Landsberg-Ammersee;Volksbank/Raiffeisenbank;;VR-Bank Landsberg-Ammersee;70091600;GENODEF1DSS;86899;Landsberg am Lech
VR-Bank Landshut;Volksbank/Raiffeisenbank;;VR-Bank Landshut;74390000;GENODEF1LH1;84037;Landshut
VR-Bank Lichtenfels-Ebern;Volksbank/Raiffeisenbank;;VR-Bank Lichtenfels-Ebern;77091800;GENODEF1LIF;96215;Lichtenfels
VR-Bank Ludwigsburg;Volksbank/Raiffeisenbank;;VR-Bank Ludwigsburg;60491430;GENODES1VBB;71636;Ludwigsburg
VR-Bank Main-Rhön;Volksbank/Raiffeisenbank;;VR-Bank Main-Rhön;79069165;GENODEF1MLV;97526;Sennfeld
VR-Bank Memmingen;Volksbank/Raiffeisenbank;;VR-Bank Memmingen;73190000;GENODEF1MM1;87689;Memmingen
VR-Bank Mitte;Volksbank/Raiffeisenbank;;VR-Bank Mitte;52260385;GENODEF1ESW;37115;Duderstadt
VR-Bank Mittelfranken Mitte;Volksbank/Raiffeisenbank;;VR-Bank Mittelfranken Mitte;76560060;GENODEF1ANS;91522;Ansbach
VR-Bank Mittelsachsen;Volksbank/Raiffeisenbank;;VR-Bank Mittelsachsen;86065468;GENODEF1DL1;09599;Freiberg
VR-Bank Neu-Ulm;Volksbank/Raiffeisenbank;;VR-Bank Neu-Ulm;73061191;GENODEF1NU1;89231;Neu-Ulm
VR-Bank NordRhön;Volksbank/Raiffeisenbank;;VR-Bank NordRhön Hünfeld;53061230;GENODEF1HUE;36081;Hünfeld
VR-Bank Nordeifel;Volksbank/Raiffeisenbank;;VR-Bank Nordeifel Schleiden;37069720;GENODED1SLE;53932;Schleiden
VR-Bank Osnabrücker Nordland;Volksbank/Raiffeisenbank;;VR-Bank Osnabrücker Nordl.;26567943;GENODEF1NOP;49584;Fürstenau
VR-Bank Ostalb;Volksbank/Raiffeisenbank;;VR-Bank Ostalb;61490150;GENODES1AAV;73407;Aalen
VR-Bank Ostbayern-Mitte;Volksbank/Raiffeisenbank;;VR-Bank Ostbayern-Mitte;74290000;GENODEF1SR1;94315;Straubing
VR-Bank Passau;Volksbank/Raiffeisenbank;;VR-Bank Passau;74090000;GENODEF1PA1;94015;Passau
VR-Bank Rottal-Inn;Volksbank/Raiffeisenbank;;VR-Bank Rottal-Inn;74061813;GENODEF1PFK;84347;Pfarrkirchen
VR-Bank Rottal-Inn;Volksbank/Raiffeisenbank;;VR-Bank Rottal-Inn;74391400;GENODEF1EGR;84301;Eggenfelden
VR-Bank Spangenberg-Morschen;Volksbank/Raiffeisenbank;;VR-Bank Spangenbg-Morschen;52063369;GENODEF1SPB;34286;Spangenberg
VR-Bank Südwestpfalz Pirmasens-Zweibrücken;Volksbank/Raiffeisenbank;;VR-Bank Südwestpfalz;54261700;GENODE61ROA;66953;Pirmasens
VR-Bank Taufkirchen-Dorfen;Volksbank/Raiffeisenbank;;VR-Bank Taufkirchen-Dorfen;70169566;GENODEF1TAV;84416;Taufkirchen (Vils)
VR-Bank Uckermark-Randow;Volksbank/Raiffeisenbank;;VR-Bank Uckermark-Randow;15091704;GENODEF1PZ1;17291;Prenzlau
VR-Bank Vilshofen-Pocking;Volksbank/Raiffeisenbank;;VR Vilshofen-Pocking;74062490;GENODEF1VIR;94060;Pocking
VR-Bank Werdenfels;Volksbank/Raiffeisenbank;;VR-Bank Werdenfels;70390010;GENODEF1GAP;82467;Garmisch-Partenkirchen
VR-Bank in Mittelbaden;Volksbank/Raiffeisenbank;;VR-Bank Mittelb Iffezheim;66562300;GENODE61IFF;76473;Iffezheim
VR-Bank in Nordhessen Westthüringen;Volksbank/Raiffeisenbank;;VR Nordhessen Westthüringen;84094754;GENODEF1SAL;36433;Bad Salzungen
VR-Bank in Südniedersachsen;Volksbank/Raiffeisenbank;;VR-Bank in Südniedersachsen;26062433;GENODEF1DRA;37127;Dransfeld
VR-Bank in Südoldenburg;Volksbank/Raiffeisenbank;;VR-Bank Südoldenburg;28061501;GENODEF1CLP;49681;Garrel
VerbundVolksbank OWL;Volksbank/Raiffeisenbank;;VerbundVolksbank OWL;47260121;DGPBDE3MXXX;33098;Paderborn
Vereinigte Raiffeisenbank Burgstädt;Volksbank/Raiffeisenbank;;Ver Raiffbk Burgstädt;87069077;GENODEF1BST;09217;Burgstädt
Vereinigte VR Bank;Volksbank/Raiffeisenbank;;Vereinigte VR Bank;21791906;GENODEF1WYK;25938;Wyk auf Föhr
Vereinigte VR Bank Kur- und Rheinpfalz;Volksbank/Raiffeisenbank;;VerVR Bank Kur-u Rheinpfalz;54790000;GENODE61SPE;67346;Speyer
Vereinigte Volksbank;Volksbank/Raiffeisenbank;;Vereinigte Volksbank;28062249;GENODEF1HUD;27795;Hude
Vereinigte Volksbank;Volksbank/Raiffeisenbank;;Vereinigte Volksbank;47264367;GENODEM1STM;33029;Brakel
Vereinigte Volksbank Bramgau Osnabrück Wittlage;Volksbank/Raiffeisenbank;;Vereinigte Volksbank;26590025;GENODEF1OSV;49090;Osnabrück
Vereinigte Volksbank Raiffeisenbank;Volksbank/Raiffeisenbank;;Vereinigte VB RB;50863513;GENODE51MIC;64354;Reinheim
Vereinigte Volksbank Raiffeisenbank;Volksbank/Raiffeisenbank;;VVR-Bank Simmern;56061472;GENODED1KHK;55469;Simmern
Vereinigte Volksbank Saarlouis-Losheim-Sulzbach/Saar;Volksbank/Raiffeisenbank;;Vereinigte Volksbank;59092000;GENODE51SB2;66740;Saarlouis
Vereinigte Volksbanken;Volksbank/Raiffeisenbank;;Vereinigte Volksbanken;60390000;GENODES1BBV;71063;Sindelfingen
Vereinte Volksbank;Volksbank/Raiffeisenbank;;Vereinte Volksbank;42461435;GENODEM1KIH;46282;Dorsten
