name;gruppe;kategorie;kurzname;blz;bic;plz;ort
Sparkasse Odenwaldkreis;Sparkasse;;Spk Odenwaldkreis Erbach;50851952;HELADEF1ERB;64711;Erbach
Sparkasse Oder-Spree;Sparkasse;;Sparkasse Oder-Spree;17055050;WELADED1LOS;15203;Frankfurt (Oder)
Sparkasse Offenburg/Ortenau;Sparkasse;;Sparkasse Offenburg/Ortenau;66450050;SOLADES1OFG;77662;Offenburg
Sparkasse Olpe-Drolshagen-Wenden;Sparkasse;;Spk Olpe-Drolshagen-Wenden;46250049;WELADED1OPE;57447;Olpe
Sparkasse Osnabrück;Sparkasse;;Sparkasse Osnabrück;26550105;NOLADE22XXX;49018;Osnabrück
Sparkasse Osterode am Harz;Sparkasse;;Sparkasse Osterode am Harz;26351015;NOLADE21HZB;37520;Osterode am Harz
Sparkasse Ostprignitz-Ruppin;Sparkasse;;Spk Ostprignitz-Ruppin;16050202;WELADED1OPR;16816;Neuruppin
Sparkasse Paderborn-Detmold-Höxter;Sparkasse;;Spk Paderborn-Detmold-Höxt.;47650130;WELADE3LXXX;32756;Detmold
Sparkasse Parchim-Lübz;Sparkasse;;Sparkasse Parchim-Lübz;14051362;NOLADE21PCH;19370;Parchim
Sparkasse Passau;Sparkasse;;Spk Passau;74050000;BYLADEM1PAS;94014;Passau
Sparkasse Pfaffenhofen;Sparkasse;;Spk Pfaffenhofen;72151650;BYLADEM1PAF;85262;Pfaffenhofen a.d.Ilm
Sparkasse Pforzheim Calw;Sparkasse;;Sparkasse Pforzheim Calw;66650085;PZHSDE66XXX;75172;Pforzheim
Sparkasse Pfullendorf-Meßkirch;Sparkasse;;Spk Pfullendorf-Meßkirch;69051620;SOLADES1PFD;88630;Pfullendorf
Sparkasse Prignitz;Sparkasse;;Sparkasse Prignitz;16050101;WELADED1PRP;16928;Pritzwalk
Sparkasse Rastatt-Gernsbach;Sparkasse;;Sparkasse Rastatt-Gernsbach;66550070;SOLADES1RAS;76402;Rastatt
Sparkasse Regen-Viechtach;Sparkasse;;Sparkasse Regen-Viechtach;74151450;BYLADEM1REG;94202;Regen
Sparkasse Regensburg;Sparkasse;;Spk Regensburg;75050000;BYLADEM1RBG;93042;Regensburg
Sparkasse Rhein Neckar Nord;Sparkasse;;Spk Rhein Neckar Nord;67050505;MANSDE66XXX;68151;Mannheim
Sparkasse Rhein-Haardt;Sparkasse;;Spk Rhein-Haardt;54651240;MALADE51DKH;67087;Bad Dürkheim
Sparkasse Rhein-Maas;Sparkasse;;Sparkasse Rhein-Maas;32450000;WELADED1KLE;47533;Kleve
Sparkasse Rhein-Nahe;Sparkasse;;Sparkasse Rhein-Nahe;56050180;MALADE51KRE;55541;Bad Kreuznach
Sparkasse Rosenheim-Bad Aibling;Sparkasse;;Spk Rosenheim-Bad Aibling;71150000;BYLADEM1ROS;83004;Rosenheim
Sparkasse Rotenburg Osterholz;Sparkasse;;Spk Rotenburg Osterholz;24151235;BRLADE21ROB;27393;Zeven
Sparkasse Rottal-Inn;Sparkasse;;Spk Rottal-Inn Eggenfelden;74351430;BYLADEM1EGF;84307;Eggenfelden
Sparkasse Saarbrücken;Sparkasse;;Sparkasse Saarbrücken;59050101;SAKSDE55XXX;66104;Saarbrücken
Sparkasse Salem-Heiligenberg;Sparkasse;;Spk Salem-Heiligenberg;69051725;SOLADES1SAL;88682;Salem
Sparkasse Schaumburg;Sparkasse;;Sparkasse Schaumburg;25551480;NOLADE21SHG;31726;Rinteln
Sparkasse Schwaben-Bodensee;Sparkasse;;Spk Schwaben-Bodensee;73150000;BYLADEM1MLM;87700;Memmingen
Sparkasse Schwarzwald-Baar;Sparkasse;;Spk Schwarzwald-Baar;69450065;SOLADES1VSS;78001;Villingen-Schwenningen
Sparkasse Schweinfurt-Haßberge;Sparkasse;;Spk Schweinfurt-Haßberge;79350101;BYLADEM1KSW;97410;Schweinfurt
Sparkasse Schwelm-Sprockhövel;Sparkasse;;Spk Schwelm-Sprockhövel;45451555;WELADED1SLM;58332;Schwelm
Sparkasse Schwäbisch Hall-Crailsheim;Sparkasse;;Sparkasse Schwäbisch Hall;62250030;SOLADES1SHA;74504;Schwäbisch Hall
Sparkasse Siegen;Sparkasse;;Spk Siegen;46050001;WELADED1SIE;57009;Siegen
Sparkasse Sonneberg;Sparkasse;;Sparkasse Sonneberg;84054722;HELADEF1SON;96515;Sonneberg
Sparkasse Spree-Neiße;Sparkasse;;Sparkasse Spree-Neiße;18050000;WELADED1CBN;03006;Cottbus
Sparkasse St. Blasien;Sparkasse;;Spk St. Blasien;68052230;SOLADES1STB;79837;St. Blasien
Sparkasse Stade-Altes Land;Sparkasse;;Spk Stade-Altes Land;24151005;NOLADE21STS;21660;Stade
Sparkasse Starkenburg;Sparkasse;;Sparkasse Starkenburg;50951469;HELADEF1HEP;64646;Heppenheim (Bergstraße)
Sparkasse Staufen-Breisach;Sparkasse;;Spk Staufen-Breisach;68052328;SOLADES1STF;79216;Staufen im Breisgau
Sparkasse Südholstein;Sparkasse;;Spk Südholstein Neumünster;23051030;NOLADE21SHO;24531;Neumünster
Sparkasse Südpfalz;Sparkasse;;Sparkasse Südpfalz;54850010;SOLADES1SUW;76825;Landau in der Pfalz
Sparkasse Südwestpfalz;Sparkasse;;Spk Südwestpfalz Pirmasens;54250010;MALADE51SWP;66930;Pirmasens
Sparkasse Tauberfranken;Sparkasse;;Spk Tauberfranken;67352565;SOLADES1TBB;97931;Tauberbischofsheim
Sparkasse Trier;Sparkasse;;Sparkasse Trier;58550130;TRISDE55XXX;54292;Trier
